cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,custom_id,speech_id,batch_id,speech_narrative_id
increased share of backward-looking firms,speed at which monetary policy affects realised inflation changes,An increased share of backward-looking firms changes the speed at which monetary policy affects realised inflation.,"As a result of the increased share of backward-looking firms, the speed at which monetary policy can affect realised inflation also changes.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_40
increased share of backward-looking firms,lengthened lags of the monetary transmission mechanism,An increased share of backward-looking firms lengthens the lags of the monetary transmission mechanism.,"In other words, the lags of the monetary transmission mechanism lengthen as shown by the increasingly long period away from the neutral line in the charts, which is particularly dramatic for the purple economy.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_41
high share of backward-looking agents,diminished effectiveness of monetary policy,A high share of backward-looking agents diminishes the effectiveness of monetary policy.,"With a high share of backward-looking agents, monetary policy effectiveness - whether directly on expectations or through the output gap channel - is greatly diminished.",NA,NA,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_42
sequence of large inflationary shocks,increased risk of being in the purple world,A sequence of large inflationary shocks increases the risk of being in the purple world.,"We have to remember that the world has been hit by a sequence of large inflationary shocks, which have increased the risk of being in the purple world in which troubling non-linearities are evident.",NA,NA,NA,PAST,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_43
increasing share of backward-looking households and firms,risk of persistent inflation,An increasing share of backward-looking households and firms raises the risk of persistent inflation.,"Looking back to my speech from just under a year ago (Mann, 2022a), in the face of two shocks, and given what was already in-train regarding inflation expectations and the collected research on policy effectiveness in the face of inflation uncertainties, a greater degree of front-loading would have reduced the risk of an increasing share of backward-looking households and firms.",NA,NA,NA,PAST,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_44
monetary policy path,quick transmission to financial markets,The monetary policy path has led to a quick transmission to financial markets.,"In the end, monetary policy has taken a path which has been historically aggressive, but perhaps insufficiently so relative to the multiple shocks, the behaviours pushing up inflation, and the initial accommodative starting point.",NA,perhaps,NA,PAST,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_45
financial conditions looser than needed,extended persistence of inflation,Looser financial conditions could yield extended persistence of inflation.,"Collectively, all this adds up to financial conditions that are now looser than what likely will be needed to moderate the embedding of on-going inflation into the wage- and price-setting paths.",NA,likely,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_46
long period above 2% target,increased degree of backward-lookingness,A long period above the 2% target could increase the degree of backward-lookingness.,"The resulting long period of time above the 2% target could increase the degree of backward-lookingness, or catch-up behaviour, in the system.",NA,could,NA,FUTURE,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_47
risk of persistent inflation,need for more tightening,The risk of persistent inflation suggests more tightening is needed.,"Given that the risk of increasingly persistent inflation rises disproportionately with the share of backward-lookingness, I believe that more tightening is needed, and caution that a pivot is not imminent.",NA,I believe,NA,PRESENT,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_48
failing to do enough now,higher inflation and lower activity,Failing to do enough now risks higher inflation and lower activity.,Failing to do enough now risks the worst of both worlds - the higher inflation and lower activity of the purple regime - as monetary policy will have to stay tighter for longer to ensure that inflation returns sustainably back to the 2% target.,NA,NA,NA,FUTURE,speech_16653_batch_2,16653,batch_695a66aaa74c81908916927aba923bea,16653_49
credit shocks,output responses,credit shocks affect output,Output and inflation responses to credit shocks.,NA,NA,NA,NA,speech_16653_batch_3,16653,batch_695a66aaa74c81908916927aba923bea,16653_50
credit shocks,inflation responses,credit shocks affect inflation,Output and inflation responses to credit shocks.,NA,NA,NA,NA,speech_16653_batch_3,16653,batch_695a66aaa74c81908916927aba923bea,16653_51
monetary policy announcements,firm expectations response,monetary policy announcements influence firm expectations,"Do firm expectations respond to monetary policy announcements?, Staff Working Paper No. 1014.",NA,NA,NA,NA,speech_16653_batch_3,16653,batch_695a66aaa74c81908916927aba923bea,16653_52
monetary policy stance,tighter conditions than Federal Funds Rate,monetary policy stance results in tighter conditions,"Monetary Policy Stance is Tighter than Federal Funds Rate, Federal Reserve Bank of San Francisco Economic Letter.",NA,NA,NA,PRESENT,speech_16653_batch_3,16653,batch_695a66aaa74c81908916927aba923bea,16653_53
monetary policy,macroeconomic impact at the Zero Lower Bound,monetary policy affects macroeconomic impact,"Measuring the Macroeconomic Impact of Monetary Policy at the Zero Lower Bound, Journal of Money, Credit and Banking, 48 (2-3), pp. 253-291.",NA,NA,NA,NA,speech_16653_batch_3,16653,batch_695a66aaa74c81908916927aba923bea,16653_54
development of a new lending tool for non-bank financial institutions,tackling systemic risks in market-based finance,The new lending tool is intended to address systemic risks.,"Andrew Hauser sets out the Banks ambitious plans for tackling systemic risks in market- based finance by developing a new lending tool for non-bank financial institutions, starting with UK insurance companies and pension funds, including newly-resilient LDI funds.",NA,NA,NA,FUTURE,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_0
shift towards Non-Bank Financial Institutions,increased competition and innovation,The shift increases competition and innovation in financial services.,"And it brings many positives: increasing competition and innovation, driving cheaper, faster and more diverse financial services.",NA,NA,NA,PRESENT,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_1
shift towards Non-Bank Financial Institutions,"cheaper, faster and more diverse financial services","The shift drives cheaper, faster, and more diverse financial services.","And it brings many positives: increasing competition and innovation, driving cheaper, faster and more diverse financial services.",NA,NA,NA,PRESENT,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_2
greater diversity in financial services,enhanced stability of the financial system,Greater diversity enhances stability by increasing intermediation channels and reducing concentration.,"Greater diversity may also help enhance the stability of the financial system as a whole, by increasing the range of intermediation channels, reducing concentration and improving risk sharing.",NA,may,NA,PRESENT,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_3
growth of NBFIs,new forms of liquidity risks to financial stability,"As NBFIs grow, they pose new liquidity risks to financial stability.","But its not all one- way: as their scale and range has grown, its become increasingly clear that NBFIs have the capacity to pose new forms of liquidity risks to financial stability, either directly or through their influence on core financial markets.",NA,NA,NA,PRESENT,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_4
limited number of serious liquidity crises involving NBFIs,doubt about the scale of the financial stability threat,The limited crises caused doubt about the threat to financial stability.,"First, the limited number of serious liquidity crises involving NBFIs in the years following the Global Financial Crisis (GFC) caused some to doubt the scale of the financial stability threat.",NA,NA,NA,PAST,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_5
traditional central bank tools for lending to banks,inability to stabilize the financial system as a whole,Traditional tools were insufficient because banks did not on-lend to NBFIs.,"Second, in 2020, and again in 2022, traditional central bank tools for lending to banks were not enough to stabilise the financial system as a whole, because banks did not (or could not) on-lend to NBFIs in sufficient size, requiring central banks to reach for unconventional asset purchase and sale tools.",NA,NA,NA,PAST,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_6
unconventional asset purchase and sale tools,restoration of stability,Unconventional tools were effective in restoring stability.,"Third, although those operations were highly effective in restoring stability, they also posed material risks - to market incentives, to public sector balance sheets, and to perceptions of the monetary stance.",NA,NA,NA,PAST,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_7
sudden onset of Covid lockdown,dash for cash by NBFIs,The Covid lockdown led to a dash for cash by NBFIs.,These risks have crystallised dramatically in recent years - globally in Spring 2020 when the sudden onset of Covid lockdown led to a dash for cash by NBFIs and others that overwhelmed sovereign debt markets.,NA,NA,NA,PAST,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_8
sharp adjustment in gilt yields following the Government's fiscal announcements,large-scale fire sales by LDI funds,The adjustment in gilt yields triggered fire sales by LDI funds.,and in the UK in Autumn 2022 when a sharp adjustment in gilt yields following the Governments fiscal announcements triggered large-scale fire sales by LDI funds.,NA,NA,NA,PAST,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_9
growth of the non-bank financial system,increased reliance of households and businesses on NBFIs,The growth of the non-bank financial system increased reliance on NBFIs.,"Households and businesses are ever more reliant on NBFIs for their saving and borrowing. Since the GFC, the non-bank financial system has doubled in size (compared with only a 60% increase in the banking sector), and now accounts for about half of global financial system assets.",NA,NA,NA,PRESENT,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_10
increased reliance on NBFIs,increased importance of NBFIs in core markets,Increased reliance has made NBFIs more important in core markets.,"To support this activity, NBFIs have become increasingly important players in the core markets that lie at the heart of the economic and financial system.",NA,NA,NA,PRESENT,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_11
failure of intermediation capacity to keep pace with market size,struggles to meet demand for liquidity,The failure to keep pace causes struggles to meet liquidity demand.,"But the intermediation capacity in these markets, particularly from dealer banks, has failed to keep pace with their burgeoning size, and struggles to meet the consequent demand for liquidity, particularly at times of stress.",NA,NA,NA,PRESENT,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_12
dealer banks hitting internal limits,reining in their operations,Hitting internal limits caused banks to rein in operations.,"But as liquidity demand remained high and one-sided, dealer banks hit internal limits, and reined in their operations, removing a key brake on wider dysfunctional.",NA,NA,NA,PAST,speech_16654_batch_0,16654,batch_695a66ab761081908089facb2333b4f6,16654_13
NBFIs seeking temporary liquidity,temporary surge in fund investor redemptions,NBFIs seek liquidity to manage redemptions,But there are many hypothetical stress scenarios in which NBFIs may be simply seeking temporary liquidity - eg to manage a temporary surge in fund investor redemptions; margin calls on derivatives; or temporary drying up in dealer funding.,NA,may,temporary,NA,speech_16654_batch_1,16654,batch_695a66ab761081908089facb2333b4f6,16654_14
NBFIs seeking temporary liquidity,margin calls on derivatives,NBFIs seek liquidity to manage margin calls,But there are many hypothetical stress scenarios in which NBFIs may be simply seeking temporary liquidity - eg to manage a temporary surge in fund investor redemptions; margin calls on derivatives; or temporary drying up in dealer funding.,NA,may,temporary,NA,speech_16654_batch_1,16654,batch_695a66ab761081908089facb2333b4f6,16654_15
NBFIs seeking temporary liquidity,temporary drying up in dealer funding,NBFIs seek liquidity to manage drying up in funding,But there are many hypothetical stress scenarios in which NBFIs may be simply seeking temporary liquidity - eg to manage a temporary surge in fund investor redemptions; margin calls on derivatives; or temporary drying up in dealer funding.,NA,may,temporary,NA,speech_16654_batch_1,16654,batch_695a66ab761081908089facb2333b4f6,16654_16
lending directly to NBFIs against high quality collateral,reduce the risk of confusing perceptions of central banks monetary policy stance,Lending reduces risk of confusion about monetary policy,"In such circumstances, it is preferable to backstop market functioning by lending directly to NBFIs against high quality collateral - as illustrated in Figure 2 - because lending offers four distinct advantages over asset purchases:  It would materially reduce the risk of confusing perceptions of central banks monetary policy stance: secured lending for financial stability purposes is a well-recognised, longstanding part of the central bank liquidity toolkit;",NA,NA,NA,FUTURE,speech_16654_batch_1,16654,batch_695a66ab761081908089facb2333b4f6,16654_17
lending directly to NBFIs against high quality collateral,fewer balance sheet costs for public authorities,Lending reduces balance sheet costs,"It would have fewer balance sheet costs for public authorities, who would not bear the market risk of holding outright positions, could apply haircuts against default risk, and would know in advance when their exposure would unwind;",NA,NA,NA,FUTURE,speech_16654_batch_1,16654,batch_695a66ab761081908089facb2333b4f6,16654_18
lending directly to NBFIs against high quality collateral,reduce the risks of central bank interventions creating perverse market incentives,Lending reduces risks of perverse incentives,It would reduce the risks of central bank interventions creating perverse market incentives that displace broader market pricing or discourage prudent NBFI behaviours to build resilience in normal times;,NA,NA,NA,FUTURE,speech_16654_batch_1,16654,batch_695a66ab761081908089facb2333b4f6,16654_19
borrowing on central bank terms,less costly than fire sales of assets for NBFIs,Borrowing is less costly than asset fire sales,"For the NBFIs themselves, borrowing - even on central bank terms - would be less costly than fire sales of assets that may later be reversed.",NA,NA,NA,FUTURE,speech_16654_batch_1,16654,batch_695a66ab761081908089facb2333b4f6,16654_20
overly generous facility,incentivises greater liquidity risk-taking by NBFIs,Generous facility incentivises risk-taking,"Condition (b) matters because an overly generous facility not only puts excessive amounts of public resources at risk, it also incentivises greater liquidity risk-taking by NBFIs.",NA,NA,NA,PRESENT,speech_16654_batch_1,16654,batch_695a66ab761081908089facb2333b4f6,16654_21
overly generous facility,undermine financial stability,Generous facility undermines financial stability,"That could perversely undermine, rather than bolster, financial stability - and runs counter to a clear national and international priority to ensure NBFIs build appropriate levels of resilience to withstand all but the most severe financial market shocks, holding up their end of the Grand Bargain.",NA,could,NA,FUTURE,speech_16654_batch_1,16654,batch_695a66ab761081908089facb2333b4f6,16654_22
LDI standards,bolstered the resilience of the wider defined benefit pension scheme sector,LDI standards increase pension scheme resilience,"These LDI standards have significantly bolstered the resilience of the wider defined benefit pension scheme sector - and there is a broader programme of work underway, in response to recommendations from the FPC and the Work and Pensions Select Committee, to ensure that the sector is able to take into account financial stability considerations on an enduring basis and be resilient to plausible future stresses.",NA,NA,NA,PRESENT,speech_16654_batch_1,16654,batch_695a66ab761081908089facb2333b4f6,16654_23
NBFIs,introduction of new sources of systemic risk,NBFIs have introduced new sources of systemic risk,"The impetus for this work is real and pressing: NBFIs have introduced important new sources of systemic risk, and our current toolkit - though effective - is incomplete, with bank lending tools unable always to reach the source of the problem, and asset buy/sell tools posing financial and policy risks.",NA,NA,NA,PAST,speech_16654_batch_2,16654,batch_695a66ab761081908089facb2333b4f6,16654_24
current toolkit,incompleteness in addressing systemic risk,current toolkit is incomplete in addressing systemic risk,"The impetus for this work is real and pressing: NBFIs have introduced important new sources of systemic risk, and our current toolkit - though effective - is incomplete, with bank lending tools unable always to reach the source of the problem, and asset buy/sell tools posing financial and policy risks.",NA,NA,NA,PRESENT,speech_16654_batch_2,16654,batch_695a66ab761081908089facb2333b4f6,16654_25
bank lending tools,inability to reach the source of the problem,bank lending tools are unable to reach the source of the problem,"The impetus for this work is real and pressing: NBFIs have introduced important new sources of systemic risk, and our current toolkit - though effective - is incomplete, with bank lending tools unable always to reach the source of the problem, and asset buy/sell tools posing financial and policy risks.",NA,NA,NA,PRESENT,speech_16654_batch_2,16654,batch_695a66ab761081908089facb2333b4f6,16654_26
asset buy/sell tools,posing financial and policy risks,asset buy/sell tools pose financial and policy risks,"The impetus for this work is real and pressing: NBFIs have introduced important new sources of systemic risk, and our current toolkit - though effective - is incomplete, with bank lending tools unable always to reach the source of the problem, and asset buy/sell tools posing financial and policy risks.",NA,NA,NA,PRESENT,speech_16654_batch_2,16654,batch_695a66ab761081908089facb2333b4f6,16654_27
ICPFs,material share of gilt sales,ICPFs accounted for a material share of gilt sales,They accounted for a material share of gilt sales in the dash for cash and LDI episodes (Figure 4).,NA,NA,NA,PAST,speech_16654_batch_2,16654,batch_695a66ab761081908089facb2333b4f6,16654_28
dash for cash and LDI episode,ICPFs improving resilience,ICPFs improved resilience in response to the dash for cash and LDI episode,Large parts of the sector have taken steps to improve their resilience in response to the dash for cash and the LDI episode.,NA,NA,NA,PAST,speech_16654_batch_2,16654,batch_695a66ab761081908089facb2333b4f6,16654_29
resilience reforms,expansion of access to NBFIs,resilience reforms lead to expansion of access to NBFIs,"So while resilience reforms are ongoing, we will also - as a second and parallel step - reach out to a broader set of NBFIs active in core sterling markets to explore how access might be expanded beyond ICPFs over time.",NA,NA,over time,FUTURE,speech_16654_batch_2,16654,batch_695a66ab761081908089facb2333b4f6,16654_30
improving resilience in the NBFI sector,realization of the Grand Bargain,improving resilience in the NBFI sector is vital for the realization of the Grand Bargain,"In particular, it is vital that continued progress is made on improving resilience in the NBFI sector if the dream of a Grand Bargain is to become a reality.",NA,if,NA,FUTURE,speech_16654_batch_2,16654,batch_695a66ab761081908089facb2333b4f6,16654_31
prudential regulation covering liquidity risk,firms' compliance with regulations,regulation requires compliance,"They are subject to prudential regulation covering liquidity risk; the PRA assesses firms compliance with these regulations, and is considering how both regulation and supervision in this area might be further strengthened: see Liquidity risk management for insurers Bank of England 16.",NA,NA,NA,PRESENT,speech_16654_batch_3,16654,batch_695a66ab761081908089facb2333b4f6,16654_32
regulation and supervision,strengthening in the area of liquidity risk management,consideration of strengthening,"They are subject to prudential regulation covering liquidity risk; the PRA assesses firms compliance with these regulations, and is considering how both regulation and supervision in this area might be further strengthened: see Liquidity risk management for insurers Bank of England 16.",NA,might,NA,FUTURE,speech_16654_batch_3,16654,batch_695a66ab761081908089facb2333b4f6,16654_33
climate change,macroeconomic effects,Climate change impacts the economy through physical impacts from extreme weather events and higher average temperatures.,"When climate change has macroeconomic effects - whether physical impacts from extreme weather events and higher average temperatures or transition effects associated with transforming to a net zero economy, including explicit implications for inflation - it becomes a concern for monetary policymakers, directly within a price stability mandate.",NA,NA,NA,PRESENT,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_0
climate mitigation policies,macroeconomic effects,Climate mitigation policies impact the economy through transition effects associated with transforming to a net zero economy.,"When climate change has macroeconomic effects - whether physical impacts from extreme weather events and higher average temperatures or transition effects associated with transforming to a net zero economy, including explicit implications for inflation - it becomes a concern for monetary policymakers, directly within a price stability mandate.",NA,NA,NA,PRESENT,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_1
climate change,concern for monetary policymakers,Climate change becomes a concern for monetary policymakers when it has macroeconomic effects.,"When climate change has macroeconomic effects - whether physical impacts from extreme weather events and higher average temperatures or transition effects associated with transforming to a net zero economy, including explicit implications for inflation - it becomes a concern for monetary policymakers, directly within a price stability mandate.",NA,NA,NA,PRESENT,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_2
climate mitigation policies,concern for monetary policymakers,Climate mitigation policies become a concern for monetary policymakers when they have macroeconomic effects.,"When climate change has macroeconomic effects - whether physical impacts from extreme weather events and higher average temperatures or transition effects associated with transforming to a net zero economy, including explicit implications for inflation - it becomes a concern for monetary policymakers, directly within a price stability mandate.",NA,NA,NA,PRESENT,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_3
climate change,impact on financial stability,Climate change impacts financial stability through risks to the financial sector and financial policy.,"Since then, much work has focused on the impact on financial stability, financial sector risks, and financial policy from climate change.",NA,NA,NA,PAST,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_4
climate change,impact on financial sector risks,Climate change impacts financial sector risks through its effects on financial stability and policy.,"Since then, much work has focused on the impact on financial stability, financial sector risks, and financial policy from climate change.",NA,NA,NA,PAST,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_5
climate change,impact on financial policy,Climate change impacts financial policy through its effects on financial stability and sector risks.,"Since then, much work has focused on the impact on financial stability, financial sector risks, and financial policy from climate change.",NA,NA,NA,PAST,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_6
climate change,change in transmission of demand shocks,Climate change has the potential to change how demand shocks transmit through the economy.,"Second, climate change and mitigation policies have the potential to change how once-familiar shocks, for instance demand shocks or monetary policy itself, transmit through the economy.",NA,have the potential to,NA,PRESENT,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_7
climate mitigation policies,change in transmission of demand shocks,Climate mitigation policies have the potential to change how demand shocks transmit through the economy.,"Second, climate change and mitigation policies have the potential to change how once-familiar shocks, for instance demand shocks or monetary policy itself, transmit through the economy.",NA,have the potential to,NA,PRESENT,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_8
climate change,change in transmission of monetary policy,Climate change has the potential to change how monetary policy transmits through the economy.,"Second, climate change and mitigation policies have the potential to change how once-familiar shocks, for instance demand shocks or monetary policy itself, transmit through the economy.",NA,have the potential to,NA,PRESENT,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_9
climate mitigation policies,change in transmission of monetary policy,Climate mitigation policies have the potential to change how monetary policy transmits through the economy.,"Second, climate change and mitigation policies have the potential to change how once-familiar shocks, for instance demand shocks or monetary policy itself, transmit through the economy.",NA,have the potential to,NA,PRESENT,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_10
climate change,impact on UK macroeconomic environment,Climate change impacts the UK macroeconomic environment through spillovers of climate mitigation policies set abroad.,"All economies will be subject to the impacts of climate change in various ways, and as a small open economy, the UKs macroeconomic environment will be affected by the spillovers of climate mitigation policies set abroad, particularly by its largest trading partners.",NA,NA,NA,FUTURE,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_11
climate mitigation policies set abroad,impact on UK macroeconomic environment,Climate mitigation policies set abroad impact the UK macroeconomic environment through spillovers.,"All economies will be subject to the impacts of climate change in various ways, and as a small open economy, the UKs macroeconomic environment will be affected by the spillovers of climate mitigation policies set abroad, particularly by its largest trading partners.",NA,NA,NA,FUTURE,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_12
carbon pricing,increase in carbon prices,Binding carbon pricing instruments raise carbon prices.,"In the short-term (which I would say is within the monetary policy horizon), binding carbon pricing instruments raise carbon prices, and if there are no revenues to redistribute, will reduce output of carbon- intensive products.",NA,NA,In the short-term,FUTURE,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_13
carbon pricing,reduction in output of carbon-intensive products,Binding carbon pricing instruments reduce output of carbon-intensive products if there are no revenues to redistribute.,"In the short-term (which I would say is within the monetary policy horizon), binding carbon pricing instruments raise carbon prices, and if there are no revenues to redistribute, will reduce output of carbon- intensive products.",NA,if there are no revenues to redistribute,In the short-term,FUTURE,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_14
carbon instruments,induce greener investments,Price signals induced by carbon instruments would induce greener investments.,"In the longer-term (which is relevant to the monetary policy terminal rate), price signals induced by the carbon instruments would induce greener investments and reduce consumption of carbon-intensive products.",NA,would,In the longer-term,FUTURE,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_15
carbon instruments,reduce consumption of carbon-intensive products,Price signals induced by carbon instruments would reduce consumption of carbon-intensive products.,"In the longer-term (which is relevant to the monetary policy terminal rate), price signals induced by the carbon instruments would induce greener investments and reduce consumption of carbon-intensive products.",NA,would,In the longer-term,FUTURE,speech_16655_batch_0,16655,batch_695a66ac6338819096be86723ff47895,16655_16
macroeconomic demand shocks,greater price volatility with quantity-based instruments,quantity-based instruments induce greater price volatility than price-based instruments during demand shocks,"If there are macroeconomic demand shocks, the quantity-based instruments would induce greater price volatility than would the price-based instruments.",NA,If,NA,FUTURE,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_17
shock to energy prices,significant impacts on energy-intensive imported goods,energy price shocks affect energy-intensive imported goods,The recent period of high inflation has shown us that a shock to or the permanent increase in the level of energy prices can have significant impacts not just on energy-intensive imported goods.,NA,NA,NA,PAST,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_18
permanent increase in energy prices,significant impacts on energy-intensive imported goods,permanent energy price increases affect energy-intensive imported goods,The recent period of high inflation has shown us that a shock to or the permanent increase in the level of energy prices can have significant impacts not just on energy-intensive imported goods.,NA,NA,NA,PAST,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_19
shocks to widely-used intermediate goods,pervasive and long-lasting effects across all other goods and sectors,intermediate goods shocks affect other goods and sectors,"As shown in Chart 5, shocks to widely-used intermediate goods can have pervasive and long-lasting effects across all other goods and sectors, as I have discussed before in several speeches.",NA,NA,NA,NA,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_20
UK reliance on fossil fuel energy,exposure to risk of further price shocks,reliance on fossil fuels exposes UK to price shocks,"As long as the UK is reliant on fossil fuel energy, it will remain exposed to risk of further price shocks, which historically have been key drivers of very high inflation episodes (Tenreyro, 2023).",NA,NA,NA,FUTURE,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_21
moving towards a greener mix for energy generation,reduced risk of large shocks and macroeconomic ramifications,greener energy mix reduces risk of shocks and macroeconomic effects,"Moving towards a greener mix for energy generation could in the end reduce the risk of these types of large shocks and their macroeconomic ramifications (Panetta, 2022).",NA,could,in the end,FUTURE,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_22
less stringent evolution in emissions permits,fall in demand for permits,less stringent permits reduce demand for permits,"These changes can be attributed at least in part to a less stringent evolution in emissions permits, and an associated fall in demand for permits, also in anticipation of future reduced stringency, relative to expectations.",NA,NA,NA,PAST,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_23
introduction of policies,volatility,policy introduction may cause volatility,"As noted, the introduction of these policies themselves may introduce volatility.",NA,may,NA,NA,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_24
price-based instruments such as carbon taxes,fluctuations in output,carbon taxes cause output fluctuations,"Price-based instruments such as carbon taxes create fluctuations in output, and quantity-based instruments such as an ETS create price fluctuations.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_25
quantity-based instruments such as an ETS,price fluctuations,ETS causes price fluctuations,"Price-based instruments such as carbon taxes create fluctuations in output, and quantity-based instruments such as an ETS create price fluctuations.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_26
uncertainty about future changes to policy stringency,accentuated macroeconomic volatility,policy uncertainty increases macroeconomic volatility,"In addition, there is added uncertainty about future changes to policy stringency that may further accentuate macroeconomic volatility.",NA,may,NA,FUTURE,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_27
uncertainty,"reduced investment, consumption, and employment","uncertainty reduces investment, consumption, and employment","From the literature on policy uncertainty, we know uncertainty reduces investment, consumption, and employment (Bloom, 2014; Jens, 2017) as it increases the so-called option value of waiting (Dixit and Pindyck, 1994), with firms optimally deferring decisions in anticipation of some reduction in the future of policy uncertainty.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_28
uncertainty around Brexit,reduced investment,Brexit uncertainty reduces investment,"My colleague Ben Broadbent gave a speech in 2019 on the relationship between investment and uncertainty, using the example of uncertainty around Brexit for firms.",NA,NA,NA,PAST,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_29
policy uncertainty,increased option value of waiting,policy uncertainty increases option value of waiting,"For an individual firm, policy uncertainty increases the option value of waiting.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_30
investments not undertaken,emissions continue unabated,lack of investment leads to continued emissions,"So investments are not undertaken, and emissions continue unabated.",NA,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_31
longer wait for investments,more costly investments needed to limit global warming,delayed investments increase costs to limit global warming,"But, for the environment, the longer we wait, the more costly the investments needed to limit global warming to 2 degrees, and the more damage that needs to be mitigated.",NA,NA,NA,FUTURE,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_32
carbon supply shock,0.15% peak increase in CPI,carbon supply shock increases CPI,"Beginning on the empirical side of carbon pricing strategies, recent staff work, using a high frequency- identified carbon policy supply proxy in a VAR, shows that for the UK, a 1 euro-on-impact carbon supply shock leads to a 0.15% peak increase in CPI and a 0.3% decrease in output (Chart 7).",0.15%,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_33
carbon supply shock,0.3% decrease in output,carbon supply shock decreases output,"Beginning on the empirical side of carbon pricing strategies, recent staff work, using a high frequency- identified carbon policy supply proxy in a VAR, shows that for the UK, a 1 euro-on-impact carbon supply shock leads to a 0.15% peak increase in CPI and a 0.3% decrease in output (Chart 7).",0.3%,NA,NA,PRESENT,speech_16655_batch_1,16655,batch_695a66ac6338819096be86723ff47895,16655_34
