,json,education,Date_of_birth,Bachelor_institution,Bachelor_year,PhD_institution,PhD_year,PhD_thesis_director,highest_level_of_study,Sources,has_PHD,date_cleaned,Date_filled
Atiur Rahman,"{  ""Date_of_birth"": ""1951-08-03"",  ""Bachelor_institution"": ""University of Dhaka"",  ""Bachelor_year"": """",  ""PhD_institution"": ""School of Oriental and African Studies (SOAS), University of London"",  ""PhD_year"": ""1983"",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Atiur_Rahman"",    ""Bachelor_institution"": ""https://www.bb.org.bd/en/index.php/about/former_governor/atiur_rahman"",    ""Bachelor_year"": """",    ""PhD_institution"": ""https://www.bb.org.bd/en/index.php/about/former_governor/atiur_rahman"",    ""PhD_year"": ""https://www.bb.org.bd/en/index.php/about/former_governor/atiur_rahman"",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.bb.org.bd/en/index.php/about/former_governor/atiur_rahman""  }} ","{'Date_of_birth': '1951-08-03', 'Bachelor_institution': 'University of Dhaka', 'Bachelor_year': '', 'PhD_institution': 'School of Oriental and African Studies (SOAS), University of London', 'PhD_year': '1983', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Atiur_Rahman', 'Bachelor_institution': 'https://www.bb.org.bd/en/index.php/about/former_governor/atiur_rahman', 'Bachelor_year': '', 'PhD_institution': 'https://www.bb.org.bd/en/index.php/about/former_governor/atiur_rahman', 'PhD_year': 'https://www.bb.org.bd/en/index.php/about/former_governor/atiur_rahman', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.bb.org.bd/en/index.php/about/former_governor/atiur_rahman'}}",1951-08-03,University of Dhaka,,"School of Oriental and African Studies (SOAS), University of London",1983,,PhD,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Atiur_Rahman', 'Bachelor_institution': 'https://www.bb.org.bd/en/index.php/about/former_governor/atiur_rahman', 'Bachelor_year': '', 'PhD_institution': 'https://www.bb.org.bd/en/index.php/about/former_governor/atiur_rahman', 'PhD_year': 'https://www.bb.org.bd/en/index.php/about/former_governor/atiur_rahman', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.bb.org.bd/en/index.php/about/former_governor/atiur_rahman'}",True,1951-08-03,1951-08-03 00:00:00
Gyrgy Matolcsy,"{  ""Date_of_birth"": ""1955-07-18"",  ""Bachelor_institution"": ""Karl Marx University of Economics"",  ""Bachelor_year"": ""1977"",  ""PhD_institution"": ""Karl Marx University of Economics"",  ""PhD_year"": ""1984"",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy"",    ""Bachelor_institution"": ""https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy"",    ""Bachelor_year"": ""https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy"",    ""PhD_institution"": ""https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy"",    ""PhD_year"": ""https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy"",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy""  }} ","{'Date_of_birth': '1955-07-18', 'Bachelor_institution': 'Karl Marx University of Economics', 'Bachelor_year': '1977', 'PhD_institution': 'Karl Marx University of Economics', 'PhD_year': '1984', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy', 'Bachelor_institution': 'https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy', 'Bachelor_year': 'https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy', 'PhD_institution': 'https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy', 'PhD_year': 'https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy'}}",1955-07-18,Karl Marx University of Economics,1977,Karl Marx University of Economics,1984,,PhD,"{'Date_of_birth': 'https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy', 'Bachelor_institution': 'https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy', 'Bachelor_year': 'https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy', 'PhD_institution': 'https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy', 'PhD_year': 'https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.mnb.hu/en/the-central-bank/management-and-control-of-the-mnb/management-of-mnb/curriculum-vitae-of-gyorgy-matolcsy'}",True,1955-07-18,1955-07-18 00:00:00
Robert T Parry,"{  ""Date_of_birth"": ""None"",  ""Bachelor_institution"": ""Gettysburg College"",  ""Bachelor_year"": ""1960"",  ""PhD_institution"": ""University of Pennsylvania"",  ""PhD_year"": ""1967"",  ""PhD_thesis_director"": ""None"",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""None"",    ""Bachelor_institution"": ""https://www.frbsf.org/our-people/leadership/robert-t-parry/"",    ""Bachelor_year"": ""https://www.federalreservehistory.org/people/robert-t-parry"",    ""PhD_institution"": ""https://www.frbsf.org/our-people/leadership/robert-t-parry/"",    ""PhD_year"": ""https://www.federalreservehistory.org/people/robert-t-parry"",    ""PhD_thesis_director"": ""None"",    ""highest_level_of_study"": ""https://www.frbsf.org/our-people/leadership/robert-t-parry/""  }} ","{'Date_of_birth': 'None', 'Bachelor_institution': 'Gettysburg College', 'Bachelor_year': '1960', 'PhD_institution': 'University of Pennsylvania', 'PhD_year': '1967', 'PhD_thesis_director': 'None', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'None', 'Bachelor_institution': 'https://www.frbsf.org/our-people/leadership/robert-t-parry/', 'Bachelor_year': 'https://www.federalreservehistory.org/people/robert-t-parry', 'PhD_institution': 'https://www.frbsf.org/our-people/leadership/robert-t-parry/', 'PhD_year': 'https://www.federalreservehistory.org/people/robert-t-parry', 'PhD_thesis_director': 'None', 'highest_level_of_study': 'https://www.frbsf.org/our-people/leadership/robert-t-parry/'}}",None,Gettysburg College,1960,University of Pennsylvania,1967,None,PhD,"{'Date_of_birth': 'None', 'Bachelor_institution': 'https://www.frbsf.org/our-people/leadership/robert-t-parry/', 'Bachelor_year': 'https://www.federalreservehistory.org/people/robert-t-parry', 'PhD_institution': 'https://www.frbsf.org/our-people/leadership/robert-t-parry/', 'PhD_year': 'https://www.federalreservehistory.org/people/robert-t-parry', 'PhD_thesis_director': 'None', 'highest_level_of_study': 'https://www.frbsf.org/our-people/leadership/robert-t-parry/'}",True,,
Ardian Fullani,"{  ""Date_of_birth"": ""1955"",  ""Bachelor_institution"": ""University of Tirana, Faculty of Economics"",  ""Bachelor_year"": ""1977"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Bachelor's degree"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia-on-ipfs.org/wiki/Adrian_Fullani"",    ""Bachelor_institution"": ""https://en.wikipedia-on-ipfs.org/wiki/Adrian_Fullani"",    ""Bachelor_year"": ""https://en.wikipedia-on-ipfs.org/wiki/Adrian_Fullani"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia-on-ipfs.org/wiki/Adrian_Fullani""  }} ","{'Date_of_birth': '1955', 'Bachelor_institution': 'University of Tirana, Faculty of Economics', 'Bachelor_year': '1977', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Bachelor's degree"", 'Sources': {'Date_of_birth': 'https://en.wikipedia-on-ipfs.org/wiki/Adrian_Fullani', 'Bachelor_institution': 'https://en.wikipedia-on-ipfs.org/wiki/Adrian_Fullani', 'Bachelor_year': 'https://en.wikipedia-on-ipfs.org/wiki/Adrian_Fullani', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia-on-ipfs.org/wiki/Adrian_Fullani'}}",1955,"University of Tirana, Faculty of Economics",1977,,,,Bachelor's degree,"{'Date_of_birth': 'https://en.wikipedia-on-ipfs.org/wiki/Adrian_Fullani', 'Bachelor_institution': 'https://en.wikipedia-on-ipfs.org/wiki/Adrian_Fullani', 'Bachelor_year': 'https://en.wikipedia-on-ipfs.org/wiki/Adrian_Fullani', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia-on-ipfs.org/wiki/Adrian_Fullani'}",False,1955-01-01,1955-01-01 00:00:00
Jens Weidmann,"{  ""Date_of_birth"": ""1968-04-20"",  ""Bachelor_institution"": ""Rheinische Friedrich-Wilhelms University, Bonn"",  ""Bachelor_year"": ""1993"",  ""PhD_institution"": ""Rheinische Friedrich-Wilhelms University, Bonn"",  ""PhD_year"": ""1997"",  ""PhD_thesis_director"": ""Manfred J. M. Neumann"",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020"",    ""Bachelor_institution"": ""https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020"",    ""Bachelor_year"": ""https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020"",    ""PhD_institution"": ""https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020"",    ""PhD_year"": ""https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020"",    ""PhD_thesis_director"": ""https://de.wikipedia.org/wiki/Jens_Weidmann"",    ""highest_level_of_study"": ""https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020""  }} ","{'Date_of_birth': '1968-04-20', 'Bachelor_institution': 'Rheinische Friedrich-Wilhelms University, Bonn', 'Bachelor_year': '1993', 'PhD_institution': 'Rheinische Friedrich-Wilhelms University, Bonn', 'PhD_year': '1997', 'PhD_thesis_director': 'Manfred J. M. Neumann', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020', 'Bachelor_institution': 'https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020', 'Bachelor_year': 'https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020', 'PhD_institution': 'https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020', 'PhD_year': 'https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020', 'PhD_thesis_director': 'https://de.wikipedia.org/wiki/Jens_Weidmann', 'highest_level_of_study': 'https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020'}}",1968-04-20,"Rheinische Friedrich-Wilhelms University, Bonn",1993,"Rheinische Friedrich-Wilhelms University, Bonn",1997,Manfred J. M. Neumann,PhD,"{'Date_of_birth': 'https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020', 'Bachelor_institution': 'https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020', 'Bachelor_year': 'https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020', 'PhD_institution': 'https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020', 'PhD_year': 'https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020', 'PhD_thesis_director': 'https://de.wikipedia.org/wiki/Jens_Weidmann', 'highest_level_of_study': 'https://www.bundesbank.de/en/bundesbank/organisation/executive-board/jens-weidmann-666020'}",True,1968-04-20,1968-04-20 00:00:00
Franois Villeroy de Galhau,"{  ""Date_of_birth"": ""1959-02-24"",  ""Bachelor_institution"": ""École Polytechnique"",  ""Bachelor_year"": ""1981"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""École nationale d'administration (ENA)"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Fran%C3%A7ois_Villeroy_de_Galhau"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Fran%C3%A7ois_Villeroy_de_Galhau"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Fran%C3%A7ois_Villeroy_de_Galhau"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Fran%C3%A7ois_Villeroy_de_Galhau""  }} ","{'Date_of_birth': '1959-02-24', 'Bachelor_institution': 'École Polytechnique', 'Bachelor_year': '1981', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""École nationale d'administration (ENA)"", 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Fran%C3%A7ois_Villeroy_de_Galhau', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Fran%C3%A7ois_Villeroy_de_Galhau', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Fran%C3%A7ois_Villeroy_de_Galhau', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Fran%C3%A7ois_Villeroy_de_Galhau'}}",1959-02-24,École Polytechnique,1981,,,,École nationale d'administration (ENA),"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Fran%C3%A7ois_Villeroy_de_Galhau', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Fran%C3%A7ois_Villeroy_de_Galhau', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Fran%C3%A7ois_Villeroy_de_Galhau', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Fran%C3%A7ois_Villeroy_de_Galhau'}",False,1959-02-24,1959-02-24 00:00:00
Emmanuel Tumusiime-Mutebile,"{  ""Date_of_birth"": ""1949-01-27"",  ""Bachelor_institution"": ""Durham University"",  ""Bachelor_year"": ""1974"",  ""PhD_institution"": ""University of Dar es Salaam"",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Doctorate in Economics"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile"",    ""PhD_institution"": ""https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile"",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile""  }} ","{'Date_of_birth': '1949-01-27', 'Bachelor_institution': 'Durham University', 'Bachelor_year': '1974', 'PhD_institution': 'University of Dar es Salaam', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Doctorate in Economics', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile', 'PhD_institution': 'https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile'}}",1949-01-27,Durham University,1974,University of Dar es Salaam,,,Doctorate in Economics,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile', 'PhD_institution': 'https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Emmanuel_Tumusiime-Mutebile'}",False,1949-01-27,1949-01-27 00:00:00
Erkki Liikanen,"{  ""Date_of_birth"": ""1950-09-19"",  ""Bachelor_institution"": ""University of Helsinki"",  ""Bachelor_year"": ""1975"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's Degree in Political Science (Economics)"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Erkki_Liikanen"",    ""Bachelor_institution"": ""https://www.ifrs.org/news-and-events/news/2018/07/erkki-liikanen-appointed-as-chair-of-the-ifrs-foundation-trustees/"",    ""Bachelor_year"": ""https://www.ifrs.org/news-and-events/news/2018/07/erkki-liikanen-appointed-as-chair-of-the-ifrs-foundation-trustees/"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.ifrs.org/news-and-events/news/2018/07/erkki-liikanen-appointed-as-chair-of-the-ifrs-foundation-trustees/""  }} ","{'Date_of_birth': '1950-09-19', 'Bachelor_institution': 'University of Helsinki', 'Bachelor_year': '1975', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's Degree in Political Science (Economics)"", 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Erkki_Liikanen', 'Bachelor_institution': 'https://www.ifrs.org/news-and-events/news/2018/07/erkki-liikanen-appointed-as-chair-of-the-ifrs-foundation-trustees/', 'Bachelor_year': 'https://www.ifrs.org/news-and-events/news/2018/07/erkki-liikanen-appointed-as-chair-of-the-ifrs-foundation-trustees/', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.ifrs.org/news-and-events/news/2018/07/erkki-liikanen-appointed-as-chair-of-the-ifrs-foundation-trustees/'}}",1950-09-19,University of Helsinki,1975,,,,Master's Degree in Political Science (Economics),"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Erkki_Liikanen', 'Bachelor_institution': 'https://www.ifrs.org/news-and-events/news/2018/07/erkki-liikanen-appointed-as-chair-of-the-ifrs-foundation-trustees/', 'Bachelor_year': 'https://www.ifrs.org/news-and-events/news/2018/07/erkki-liikanen-appointed-as-chair-of-the-ifrs-foundation-trustees/', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.ifrs.org/news-and-events/news/2018/07/erkki-liikanen-appointed-as-chair-of-the-ifrs-foundation-trustees/'}",False,1950-09-19,1950-09-19 00:00:00
Rafael Buenaventura,"{  ""Date_of_birth"": ""1938-08-05"",  ""Bachelor_institution"": ""De La Salle University"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's degree in Business Administration"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Rafael_Buenaventura"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Rafael_Buenaventura"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Rafael_Buenaventura""  }} ","{'Date_of_birth': '1938-08-05', 'Bachelor_institution': 'De La Salle University', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's degree in Business Administration"", 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Rafael_Buenaventura', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Rafael_Buenaventura', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Rafael_Buenaventura'}}",1938-08-05,De La Salle University,,,,,Master's degree in Business Administration,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Rafael_Buenaventura', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Rafael_Buenaventura', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Rafael_Buenaventura'}",False,1938-08-05,1938-08-05 00:00:00
Mario Draghi,"{  ""Date_of_birth"": ""1947-09-03"",  ""Bachelor_institution"": ""Sapienza University of Rome"",  ""Bachelor_year"": ""1970"",  ""PhD_institution"": ""Massachusetts Institute of Technology"",  ""PhD_year"": ""1977"",  ""PhD_thesis_director"": ""Franco Modigliani and Robert Solow"",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://www.britannica.com/biography/Mario-Draghi"",    ""Bachelor_institution"": ""https://www.britannica.com/biography/Mario-Draghi"",    ""Bachelor_year"": ""https://www.britannica.com/biography/Mario-Draghi"",    ""PhD_institution"": ""https://www.britannica.com/biography/Mario-Draghi"",    ""PhD_year"": ""https://www.britannica.com/biography/Mario-Draghi"",    ""PhD_thesis_director"": ""https://www.britannica.com/biography/Mario-Draghi"",    ""highest_level_of_study"": ""https://www.britannica.com/biography/Mario-Draghi""  }} ","{'Date_of_birth': '1947-09-03', 'Bachelor_institution': 'Sapienza University of Rome', 'Bachelor_year': '1970', 'PhD_institution': 'Massachusetts Institute of Technology', 'PhD_year': '1977', 'PhD_thesis_director': 'Franco Modigliani and Robert Solow', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://www.britannica.com/biography/Mario-Draghi', 'Bachelor_institution': 'https://www.britannica.com/biography/Mario-Draghi', 'Bachelor_year': 'https://www.britannica.com/biography/Mario-Draghi', 'PhD_institution': 'https://www.britannica.com/biography/Mario-Draghi', 'PhD_year': 'https://www.britannica.com/biography/Mario-Draghi', 'PhD_thesis_director': 'https://www.britannica.com/biography/Mario-Draghi', 'highest_level_of_study': 'https://www.britannica.com/biography/Mario-Draghi'}}",1947-09-03,Sapienza University of Rome,1970,Massachusetts Institute of Technology,1977,Franco Modigliani and Robert Solow,PhD,"{'Date_of_birth': 'https://www.britannica.com/biography/Mario-Draghi', 'Bachelor_institution': 'https://www.britannica.com/biography/Mario-Draghi', 'Bachelor_year': 'https://www.britannica.com/biography/Mario-Draghi', 'PhD_institution': 'https://www.britannica.com/biography/Mario-Draghi', 'PhD_year': 'https://www.britannica.com/biography/Mario-Draghi', 'PhD_thesis_director': 'https://www.britannica.com/biography/Mario-Draghi', 'highest_level_of_study': 'https://www.britannica.com/biography/Mario-Draghi'}",True,1947-09-03,1947-09-03 00:00:00
